Arp,Name,RAJ2000,DEJ2000,VT,dim1,dim2
318,NGC 0833,02 09 20.6,-10 07 59,12.7,1.5,0.7
318,NGC 0835,02 09 24.6,-10 08 09,12.1,1.3,1.1
318,NGC 0838,02 09 38.4,-10 08 48,13.4,1.2,0.9
318,NGC 0839,02 09 42.9,-10 11 02,13.1,1.5,0.7
10,UGC 01775,02 18 26.3,+05 39 14,13.8,1.5,1.5
273,UGC 01810,02 21 28.7,+39 22 31,13.7,2.2,1.5
273,UGC 01813,02 21 32.4,+39 21 23,15.3,1.5,0.4
145,ARP 145,02 23 08.0,+41 22 12,13.8,,
145,UGC 01840,02 23 08.4,+41 22 20,18.8,1.6,1.3
145,ARP 145,02 23 11.4,+41 22 05,17.8,,
54,PGC 9107,02 23 59.1,-04 41 48,17.1,0.5,0.3
54,MCG-01-07-007,02 24 01.8,-04 41 38,15.0,1.0,0.6
276,NGC 0935,02 28 10.9,+19 35 59,12.9,1.7,1.1
276,IC 1801,02 28 11.8,+19 34 24,14.8,1.3,0.6
309,NGC 0943,02 29 09.4,-10 49 37,11.4,3.4,
309,NGC 0942,02 29 10.2,-10 50 10,11.2,3.4,
258,Hickson 18D,02 39 04.6,+18 23 38,14.6,,
258,Hickson 18C,02 39 05.9,+18 23 18,16.1,,
258,UGC 02140,02 39 06.2,+18 22 58,15.4,1.7,0.7
258,UGC 02140A,02 39 09.3,+18 22 03,15.5,0.9,0.2
333,NGC 1024,02 39 12.2,+10 50 50,12.1,3.9,1.4
135,NGC 1023,02 40 24.0,+39 03 46,9.3,8.8,3.0
37,MESSIER 77,02 42 40.7,-00 00 47,8.9,7.1,6.1
77,NGC 1097A,02 46 09.9,-30 13 45,13.6,0.8,0.5
77,NGC 1097,02 46 19.1,-30 16 28,9.2,9.4,6.3
131,MCG-03-08-25,02 47 19.8,-14 48 07,14.5,1.0,0.7
131,MCG-03-08-26,02 47 33.9,-14 46 30,15.0,0.7,0.4
190,UGC 02320,02 50 19.9,+12 53 22,15.2,0.5,0.3
200,NGC 1134,02 53 41.1,+13 00 55,12.1,2.5,0.9
118,NGC 1143,02 55 09.7,-00 10 40,13.2,,
118,NGC 1144,02 55 11.1,-00 10 37,12.9,,
179,NPM1G -04.0134,03 01 40.9,-04 40 18,16.6,,
108,ESO 547-G002,03 03 05.5,-22 13 02,15.0,0.6,0.4
108,ESO 547-G003,03 03 07.2,-22 12 24,14.0,1.0,0.7
332,NGC 1229,03 08 11.0,-22 57 37,13.9,1.4,0.9
332,NGC 1228,03 08 11.0,-22 55 28,13.2,1.5,0.9
332,NGC 1230,03 08 16.4,-22 59 03,15.4,0.6,0.2
332,MCG-4-8-29,03 08 26.0,-23 02 17,16.8,0.6,0.3
332,IC 1892,03 08 27.9,-23 03 04,13.2,2.0,1.1
41,NGC 1232,03 09 45.3,-20 34 44,10.1,7.5,6.5
41,NGC 1232A,03 09 45.3,-20 34 44,14.7,0.9,0.8
304,NGC 1241,03 11 14.7,-08 55 20,12.0,2.8,1.7
147,IC 0298,03 11 18.3,+01 18 50,15.0,0.7,0.5
304,NGC 1242,03 11 19.2,-08 54 07,13.7,1.2,0.7
279,NGC 1253,03 14 09.1,-02 49 22,11.7,5.3,2.3
279,NGC 1253A,03 14 23.2,-02 48 13,13.9,1.7,1.0
154,NGC 1316,03 22 41.5,-37 12 34,8.2,12.1,8.6
39,NGC 1347,03 29 42.0,-22 16 45,13.0,1.6,1.3
219,UGC 02812,03 39 51.9,-02 06 48,14.9,0.9,0.8
213,IC 0356,04 07 47.1,+69 48 47,10.5,5.3,3.9
20,UGC 03014,04 19 53.7,+02 05 43,14.4,1.2,0.7
210,NGC 1569,04 30 49.0,+64 50 53,11.0,3.7,1.8
186,NGC 1614,04 33 59.8,-08 34 44,13.6,1.3,1.2
61,UGC 03104,04 36 42.0,-02 17 13,15.1,1.0,0.5
180,MCG-01-13-034,04 53 22.3,-04 48 08,14.8,1.1,0.5
259,NGC 1741,05 01 35.4,-04 15 24,18.5,,
259,NGC 1741,05 01 35.4,-04 15 50,15.2,,
259,NGC 1741,05 01 37.8,-04 15 28,13.3,1.4,0.7
259,NGC 1741,05 01 38.7,-04 15 34,15.6,,
187,MCG-02-13-040A,05 04 53.0,-10 14 52,15.0,0.9,0.4
52,CGCG 421-027,05 19 44.0,+03 43 01,15.6,,
327,NGC 1875,05 21 45.9,+06 41 19,13.6,1.6,0.5
327,MCG+01-14-031,05 21 47.7,+06 41 01,18.3,,
327,MCG+01-14-031,05 21 48.9,+06 40 55,17.1,,
327,MCG+01-14-031,05 21 49.9,+06 40 36,17.4,,
123,NGC 1888,05 22 32.3,-11 29 42,12.0,3.0,0.8
123,NGC 1889,05 22 35.3,-11 29 49,13.3,0.7,0.5
184,NGC 1961,05 42 04.4,+69 22 46,11.0,4.6,3.0
96,UGC 03528A,07 03 00.7,+86 36 12,14.8,0.8,0.6
96,UGC 03536A,07 03 22.3,+86 33 28,14.8,0.9,
141,UGC 03730,07 14 20.9,+73 28 51,12.5,2.8,1.5
141,UGC 03730,07 14 26.8,+73 28 53,16.9,,
25,NGC 2276,07 27 13.0,+85 45 20,11.4,2.8,2.7
114,NGC 2300,07 32 20.0,+85 42 31,12.1,2.8,2.0
250,IRAS F07327+3529,07 35 59.7,+35 22 52,15.0,,
165,NGC 2418,07 36 37.8,+17 53 06,12.2,1.8,
17,UGC 03972,07 44 32.7,+73 49 50,14.7,0.9,0.6
17,UGC 03972,07 44 38.5,+73 48 50,,1.1,0.6
143,NGC 2444,07 46 53.0,+39 01 55,13.2,1.2,0.8
143,NGC 2445,07 46 54.7,+39 01 01,13.3,1.4,1.1
82,NGC 2535,08 11 13.5,+25 12 26,12.8,2.5,1.2
82,NGC 2536,08 11 16.1,+25 10 45,14.2,0.9,0.6
6,NGC 2537,08 13 14.6,+45 59 28,12.3,1.7,1.5
9,NGC 2523,08 14 59.3,+73 34 49,11.9,3.0,1.8
268,Holmberg II,08 19 06.0,+70 42 51,10.7,8.0,6.3
247,IC 2338,08 23 32.6,+21 20 17,15.4,0.6,0.5
247,UGC 04383,08 23 33.0,+21 20 36,14.7,,
247,IC 2339,08 23 34.4,+21 20 54,15.4,1.1,0.6
58,UGC 04457,08 31 58.1,+19 12 48,14.2,1.8,1.0
12,NGC 2608,08 35 17.3,+28 28 24,12.2,2.3,1.4
243,NGC 2623,08 38 23.7,+25 45 16,13.4,,
243,NGC 2623,08 38 24.1,+25 45 01,13.4,2.4,0.7
243,NGC 2623,08 38 24.3,+25 45 17,,,
89,NGC 2648,08 42 40.1,+14 17 09,12.7,3.3,1.1
80,NGC 2633,08 48 06.6,+74 05 58,12.2,2.5,1.6
167,NGC 2672,08 49 22.3,+19 04 30,11.6,3.0,2.8
167,NGC 2673,08 49 24.1,+19 04 27,13.3,1.2,
7,MCG-03-23-009,08 50 17.6,-16 34 35,14.5,1.3,1.0
257,UGC 04638,08 51 37.9,-02 21 15,17.0,1.5,0.8
257,UGC 04638,08 51 38.3,-02 21 59,15.0,0.6,0.3
195,UGC 04653,08 53 50.2,+35 08 36,14.5,1.9,1.1
336,NGC 2685,08 55 35.2,+58 44 01,11.2,4.5,2.4
225,NGC 2655,08 55 38.8,+78 13 28,10.1,4.9,4.1
202,NGC 2719,09 00 15.4,+35 43 39,13.1,1.4,0.3
202,NGC 2719A,09 00 15.9,+35 43 12,13.5,0.9,0.6
287,NGC 2735,09 02 38.6,+25 56 06,13.3,1.2,0.4
287,NGC 2735A,09 02 41.8,+25 56 18,15.8,0.2,
215,NGC 2782,09 14 05.2,+40 06 51,11.7,3.5,2.6
55,UGC 04881,09 15 55.6,+44 19 57,14.9,1.0,0.9
55,UGC 04881,09 16 00.7,+44 21 08,16.6,,
283,NGC 2798,09 17 22.8,+41 59 58,12.3,2.6,1.0
283,NGC 2799,09 17 31.1,+41 59 38,14.0,1.9,0.5
315,NGC 2831,09 19 45.5,+33 44 40,12.3,1.4,
315,NGC 2832,09 19 46.8,+33 44 59,11.9,2.4,1.9
285,NGC 2854,09 24 02.9,+49 12 14,13.0,1.7,0.6
285,NGC 2856,09 24 16.3,+49 14 54,13.1,1.1,0.5
1,NGC 2857,09 24 37.6,+49 21 24,12.2,2.3,2.0
307,NGC 2872,09 25 42.5,+11 25 55,11.9,2.1,1.8
307,NGC 2874,09 25 47.3,+11 25 28,12.5,2.4,0.7
