Arp,Name,RAJ2000,DEJ2000,VT,dim1,dim2
238,UGC 08335,13 15 29.4,+62 07 42,15.0,,
238,UGC 08335,13 15 35.2,+62 07 26,15.0,0.9,0.8
57,MCG+03-34-012,13 16 40.1,+14 26 12,15.5,0.9,0.6
57,CGCG 101-019,13 16 40.1,+14 25 12,14.8,0.5,0.3
193,IC 0883,13 20 35.3,+34 08 21,14.4,1.6,1.1
204,UGC 08454,13 22 45.9,+84 29 58,16.4,0.8,0.3
204,UGC 08454,13 22 49.6,+84 30 24,16.0,,
153,NGC 5128,13 25 27.6,-43 01 09,6.8,25.9,20.1
40,IC 4271,13 29 20.4,+37 24 31,15.0,0.8,0.5
85,MESSIER 51A,13 29 52.3,+47 11 54,8.4,11.4,7.0
85,MESSIER 51B,13 29 58.6,+47 16 04,9.6,5.8,4.6
334,UGC 08498,13 30 25.8,+31 37 13,13.6,2.8,1.0
104,NGC 5216,13 32 07.8,+62 42 03,12.6,2.5,1.5
104,NGC 5218,13 32 10.9,+62 46 03,12.3,1.8,1.3
36,UGC 08548,13 34 14.9,+31 25 31,15.0,1.3,0.6
183,UGC 08560,13 34 55.2,+31 23 33,14.6,1.3,1.2
288,NGC 5222,13 34 55.5,+13 44 30,13.1,1.6,1.2
288,NGC 5221,13 34 56.1,+13 49 55,13.0,2.4,0.8
326,UGC 08610,13 37 18.6,+06 28 44,15.4,1.0,1.2
33,UGC 08613,13 37 24.1,+06 26 10,15.3,1.4,0.6
33,UGC 08613,13 37 24.6,+06 25 45,15.0,1.4,0.6
240,NGC 5257,13 39 53.0,+00 50 22,12.9,1.8,0.9
240,NGC 5258,13 39 57.9,+00 49 55,12.9,1.7,1.1
239,NGC 5278,13 41 39.8,+55 40 11,12.7,1.4,1.0
239,NGC 5279,13 41 43.7,+55 40 22,14.2,0.6,0.4
84,NGC 5394,13 58 33.9,+37 27 13,13.0,1.8,1.0
84,NGC 5395,13 58 38.3,+37 25 32,11.4,2.9,1.6
111,NGC 5421,14 01 40.7,+33 49 45,13.4,1.2,0.9
111,MCG+06-31-046,14 01 41.1,+33 49 33,17.0,0.4,0.3
26,MESSIER 101,14 03 12.7,+54 21 02,7.9,28.9,27.0
271,NGC 5426,14 03 25.0,-06 04 10,12.2,3.0,1.6
271,NGC 5427,14 03 25.8,-06 01 50,11.4,2.8,2.4
117,IC 0982,14 09 59.0,+17 41 46,14.6,1.3,
117,IC 0983,14 10 04.3,+17 44 01,14.3,5.4,4.7
79,NGC 5490C,14 10 07.0,+17 36 55,13.9,1.2,0.8
199,NGC 5544,14 17 02.4,+36 34 20,13.4,1.0,
199,NGC 5545,14 17 04.9,+36 34 29,15.2,1.3,0.4
45,UGC 09178,14 19 27.0,+51 55 15,15.4,0.7,0.3
45,UGC 09178,14 19 51.0,+51 54 16,15.5,1.1,0.5
286,NGC 5560,14 20 04.8,+03 59 34,12.4,3.7,0.7
286,NGC 5566,14 20 20.4,+03 55 59,10.5,6.6,2.2
69,NGC 5579,14 20 26.4,+35 11 19,13.6,1.9,1.4
286,NGC 5569,14 20 32.0,+03 58 57,13.2,1.7,1.5
178,NGC 5613,14 24 05.9,+34 53 32,13.7,1.0,0.8
178,NGC 5615,14 24 06.4,+34 52 27,14.5,0.2,0.2
178,NGC 5614,14 24 07.5,+34 51 31,11.7,2.5,2.0
49,NGC 5665,14 32 25.5,+08 04 46,12.0,1.9,1.4
95,MCG+5-34-76,14 34 54.9,+26 29 55,15.8,0.4,0.2
95,IC 4461,14 35 01.9,+26 32 38,15.2,1.3,0.7
95,IC 4462,14 35 04.2,+26 32 27,16.0,0.3,0.3
274,NGC 5679,14 35 05.8,+05 20 55,13.0,1.1,0.6
274,NGC 5679A,14 35 08.4,+05 21 35,13.5,1.2,0.7
274,NGC 5679C,14 35 08.6,+05 21 27,15.0,0.2,0.1
241,UGC 09425,14 37 50.8,+30 28 53,15.0,1.1,0.6
171,IC 1042,14 40 37.1,+03 27 10,14.9,1.1,
171,NGC 5718,14 40 43.1,+03 27 11,12.9,1.5,1.1
297,NGC 5752,14 45 14.2,+38 43 44,15.3,0.5,0.2
297,NGC 5753,14 45 18.8,+38 48 21,14.8,0.4,0.4
297,NGC 5754,14 45 19.5,+38 43 53,13.1,2.0,1.8
297,NGC 5755,14 45 24.0,+38 46 49,14.1,1.3,1.0
64,UGC 09503,14 45 25.9,+19 27 53,15.0,1.5,0.4
47,CGCG 105-026,14 47 12.5,+18 51 33,16.6,,
47,ARP 047,14 47 12.5,+18 51 30,15.0,0.8,0.4
328,UGC 09532,14 47 53.4,+19 04 37,16.1,0.5,0.1
328,UGC 09532,14 47 54.8,+19 03 37,16.1,0.6,0.2
328,UGC 09532,14 47 55.0,+19 02 51,18.6,,
328,UGC 09532,14 47 55.2,+19 03 04,18.6,0.3,0.1
328,UGC 09532,14 47 55.8,+19 03 24,16.0,0.2,0.2
328,UGC 09532,14 47 56.1,+19 01 32,15.8,,
328,UGC 09532,14 47 56.9,+19 02 41,16.1,0.3,0.3
261,MCG-02-38-016,14 49 30.5,-10 10 23,13.4,,
261,ARP 261,14 49 32.7,-10 09 24,,,
261,ARP 261,14 49 32.7,-10 09 47,,,
261,ARP 261,14 49 32.9,-10 09 51,14.5,,
173,UGC 09561,14 51 26.2,+09 19 42,14.9,1.2,0.2
173,UGC 09561,14 51 27.9,+09 19 19,,,
177,MCG+04-35-017,14 55 48.5,+24 35 55,17.3,0.2,0.2
177,MCG+04-35-016,14 55 48.5,+24 35 55,18.0,0.4,0.1
302,UGC 09618,14 57 00.5,+24 36 20,15.3,0.9,0.2
302,UGC 09618,14 57 01.0,+24 37 01,14.6,0.7,0.7
136,NGC 5820,14 58 39.9,+53 53 10,12.5,1.7,1.1
42,IC 4526,15 02 38.3,+23 20 56,15.5,0.4,0.4
42,NGC 5829,15 02 42.1,+23 19 57,13.3,1.8,1.6
254,NGC 5917,15 21 32.2,-07 22 38,14.5,1.5,0.9
90,NGC 5929,15 26 06.1,+41 40 14,13.6,1.0,0.9
90,NGC 5930,15 26 07.9,+41 40 33,12.2,1.7,0.9
91,NGC 5953,15 34 32.3,+15 11 42,12.1,1.6,1.4
91,NGC 5954,15 34 34.8,+15 12 12,12.1,1.3,0.6
220,IC 4553,15 34 57.1,+23 30 16,13.1,1.5,1.2
220,IC 4554,15 34 57.3,+23 30 05,13.1,1.8,
220,IC 1127,15 34 57.3,+23 30 11,,,
72,NGC 5994,15 46 53.2,+17 52 21,14.2,0.4,0.2
72,NGC 5996,15 46 58.9,+17 53 08,12.8,1.8,0.9
109,UGC 10053,15 47 50.7,+69 28 10,15.0,1.2,0.7
109,UGC 10053,15 48 07.7,+69 27 33,15.2,0.5,0.4
218,CGCG 107-052,15 53 32.5,+18 36 10,15.4,0.9,0.5
218,ARP 218 18.0,15 53 32.5,+18 36 10,,0.9,0.5
218,ARP 218,15 53 36.9,+18 36 35,,1.1,0.8
324,UGC 10143C,16 02 08.9,+15 53 17,15.5,0.8,0.5
324,ARP 324,16 02 10.1,+15 54 59,15.3,,
324,UGC 10143,16 02 12.8,+15 54 26,15.2,,
324,UGC 10143B,16 02 13.3,+15 56 14,15.1,0.6,0.4
324,ARP 324,16 02 15.1,+15 56 58,,1.7,1.0
324,UGC 10143A,16 02 17.0,+15 58 27,14.2,,
101,UGC 10164,16 04 24.3,+14 46 51,15.5,1.1,0.9
122,NGC 6040B,16 04 26.3,+17 44 37,14.9,0.8,
122,NGC 6040A,16 04 26.8,+17 45 02,13.6,1.4,0.5
101,UGC 10169,16 04 31.6,+14 49 08,14.7,2.1,0.4
71,NGC 6045,16 05 07.8,+17 45 27,13.9,1.3,0.3
209,NGC 6052,16 05 12.6,+20 32 33,13.0,0.9,0.7
272,NGC 6054,16 05 30.5,+17 46 09,15.2,0.7,0.4
172,IC 1178,16 05 33.0,+17 36 05,15.2,1.1,0.9
172,IC 1181,16 05 33.6,+17 35 30,15.9,0.8,0.7
188,UGC 10214,16 06 03.4,+55 25 18,14.4,3.6,0.8
2,UGC 10310,16 16 18.2,+47 02 47,13.2,2.8,2.2
66,UGC 10396,16 26 52.9,+51 33 20,14.6,1.2,0.7
185,NGC 6217,16 32 40.0,+78 11 57,11.2,3.0,2.5
73,IC 1222,16 35 08.9,+46 12 50,13.5,1.7,1.4
125,UGC 10491,16 38 13.8,+41 55 51,13.6,1.1,0.4
125,UGC 10491,16 38 13.8,+41 56 19,15.5,,
330,I Zw 167,16 49 07.9,+53 25 53,,6.1,
103,UGC 10586,16 49 26.0,+45 27 30,14.6,1.4,
103,UGC 10586,16 49 28.3,+45 27 41,15.2,0.4,
103,UGC 10586,16 49 33.1,+45 29 53,14.6,0.4,
312,MCG+08-31-004,16 49 48.4,+46 43 05,14.1,1.1,0.9
312,ARP 312,16 49 50.2,+46 42 50,,,
208,MCG+08-31-011,16 51 01.3,+47 13 25,15.0,0.4,0.3
208,MCG+08-31-010,16 51 02.8,+47 13 15,14.8,0.4,0.3
293,NGC 6285,16 58 23.9,+58 57 21,13.5,1.3,0.7
293,NGC 6286,16 58 31.4,+58 56 13,13.3,1.3,1.2
32,UGC 10770A,17 13 07.6,+59 19 23,14.4,,
32,UGC 10770B,17 13 10.7,+59 19 58,14.3,1.2,0.6
124,NGC 6361,17 18 40.8,+60 36 24,13.1,2.2,0.6
102,UGC 10814A,17 19 14.4,+48 58 49,15.5,0.9,0.7
102,UGC 10814B,17 19 21.2,+49 02 25,14.9,0.9,0.6
102,MCG+08-31-042,17 19 29.9,+49 03 01,14.9,0.7,0.4
30,NGC 6365,17 22 42.9,+62 10 27,12.2,1.3,
30,NGC 6365A,17 22 43.3,+62 09 57,13.8,1.1,0.2
311,IC 1258,17 27 17.4,+58 29 08,14.4,0.9,0.7
310,IC 1259,17 27 24.9,+58 31 00,15.0,,
310,IC 1259,17 27 26.6,+58 30 57,15.0,,
311,IC 1260,17 27 31.6,+58 28 33,15.7,,
311,KAZ 140,17 27 31.7,+58 28 33,15.8,0.6,0.5
38,NGC 6412,17 29 36.2,+75 42 17,11.7,2.5,2.2
81,NGC 6621,18 12 54.6,+68 21 50,12.8,2.1,0.8
81,NGC 6622,18 13 00.1,+68 21 12,15.3,0.5,0.4
29,NGC 6946,20 34 52.2,+60 09 14,8.8,11.6,9.9
325,ESO 601- G 018,22 06 22.2,-21 04 21,18.1,1.7,0.7
325,ESO 601- G 018,22 06 23.2,-21 04 39,17.9,,
325,ESO 601- G 018,22 06 24.2,-21 04 45,16.1,,
169,NGC 7236,22 14 45.0,+13 50 46,13.0,0.7,0.7
169,NGC 7237,22 14 46.9,+13 50 26,13.6,0.7,0.7
278,NGC 7253A,22 19 26.2,+29 23 53,13.6,1.7,0.5
278,NGC 7253B,22 19 29.0,+29 23 11,14.2,1.6,0.5
226,NGC 7252,22 20 44.8,-24 40 43,11.4,2.0,1.6
93,NGC 7284,22 28 36.0,-24 50 39,11.9,2.1,1.5
93,NGC 7285,22 28 38.0,-24 50 27,11.9,2.4,1.4
14,NGC 7314,22 35 45.7,-26 03 03,10.9,4.6,2.1
319,NGC 7317,22 35 51.9,+33 56 41,13.6,1.1,1.1
319,NGC 7318A,22 35 56.7,+33 57 56,13.4,0.9,
319,NGC 7318B,22 35 58.4,+33 57 58,13.4,1.9,1.2
319,NGC 7319,22 36 03.5,+33 58 33,13.1,1.7,1.3
319,NGC 7320,22 36 04.1,+33 56 41,12.6,2.2,1.1
3,MCG-01-57-016,22 36 34.0,-02 54 19,13.4,2.5,2.1
15,NGC 7393,22 51 39.3,-05 33 28,12.6,2.0,0.9
110,MCG-03-58-011,22 54 08.8,-15 14 14,15.9,0.7,0.6
314,MCG-01-58-009,22 58 01.0,-03 46 08,13.7,1.1,0.9
314,MCG-01-58-010,22 58 07.0,-03 47 23,13.8,1.3,1.1
314,MCG-01-58-011,22 58 11.0,-03 48 55,16.0,1.1,0.9
13,NGC 7448,23 00 02.4,+15 59 22,11.6,2.7,1.2
298,NGC 7469,23 03 15.6,+08 52 26,12.3,1.5,1.1
298,IC 5283,23 03 18.1,+08 53 36,13.8,0.8,0.4
99,NGC 7547,23 15 03.6,+18 58 23,13.7,1.1,0.5
99,NGC 7550,23 15 16.0,+18 57 41,12.2,1.4,1.2
99,NGC 7549,23 15 17.2,+19 02 30,13.0,2.8,0.7
170,NGC 7578A,23 17 11.9,+18 42 03,13.8,1.4,
170,NGC 7578B,23 17 13.4,+18 42 28,13.8,1.1,
223,NGC 7585,23 18 02.1,-04 38 56,11.4,2.3,2.0
92,NGC 7603,23 18 56.6,+00 14 38,13.2,1.6,1.0
150,NGC 7609,23 19 29.9,+09 30 29,14.1,1.3,1.1
150,NGC 7609A,23 19 31.0,+09 30 10,15.0,,
212,NGC 7625,23 20 30.0,+17 13 32,12.1,1.6,1.5
182,NGC 7674,23 27 56.7,+08 46 45,13.2,1.1,1.0
182,UGC 12608,23 27 58.8,+08 46 58,13.6,0.2,0.2
28,NGC 7678,23 28 27.8,+22 25 16,11.8,2.4,1.7
216,NGC 7679,23 28 46.8,+03 30 41,12.9,1.4,0.9
216,NGC 7682,23 29 03.9,+03 32 00,13.2,1.2,1.1
46,UGC 12665,23 33 41.1,+30 02 35,15.0,1.2,0.9
284,NGC 7714,23 36 14.1,+02 09 18,12.5,1.9,1.4
284,NGC 7715,23 36 22.0,+02 09 24,14.2,2.6,0.5
222,NGC 7727,23 39 54.2,-12 17 31,10.6,4.7,3.6
295,MCG-01-60-021,23 41 47.9,-03 40 37,14.5,1.9,0.3
295,ARP 295,23 42 04.1,-03 35 21,14.6,0.9,0.5
86,NGC 7752,23 46 58.5,+29 27 32,14.3,0.8,0.5
86,NGC 7753,23 47 04.7,+29 29 01,12.0,3.3,2.1
68,NGC 7757,23 48 45.1,+04 10 24,12.7,2.5,1.8
323,NGC 7783,23 54 10.0,+00 22 58,13.0,1.3,0.6
323,NGC 7783B,23 54 12.0,+00 22 38,14.0,0.4,0.3
262,MCG+03-01-003,23 56 43.8,+16 48 27,14.6,0.5,0.4
262,UGC 12856,23 56 44.9,+16 48 45,13.2,2.4,
50,IC 1520,23 57 58.0,-14 01 48,14.0,0.5,0.5
