cat,name,ra,dec,size,bri
SH2,252,06h09m39s,+20d30m02s,40,3
SH2,253,06h25m44s,+20d01m41s,5,1
SH2,254,06h12m21s,+18d02m38s,11,2
SH2,255,06h13m09s,+17d58m31s,3,3
SH2,256,06h12m39s,+17d56m35s,1,2
SH2,257,06h12m51s,+17d58m33s,3,3
SH2,258,06h13m33s,+17d55m27s,1,2
SH2,259,06h11m37s,+17d26m44s,2,1
SH2,260,04h55m08s,+05d39m42s,22,1
SH2,261,06h08m57s,+15d48m07s,45,2
SH2,262,05h06m45s,+06d10m04s,20,1
SH2,263,05h21m45s,+08d23m57s,22,2
SH2,264,05h35m13s,+09d56m00s,390,2
SH2,265,05h18m36s,+07d26m23s,70,2
SH2,266,06h18m50s,+15d16m41s,1,3
SH2,267,06h15m53s,+14d16m06s,4,2
SH2,268,06h10m15s,+13d19m55s,60,1
SH2,269,06h14m34s,+13d49m17s,4,3
SH2,270,06h10m14s,+12d48m55s,1,3
SH2,271,06h14m55s,+12d21m14s,2,3
SH2,272,06h15m01s,+12d20m13s,1,2
SH2,273,06h40m49s,+09d54m29s,250,3
SH2,274,07h29m07s,+13d15m43s,8,3
SH2,275,06h31m43s,+04d55m47s,100,3
SH2,276,05h27m28s,-03d57m55s,1200,2
SH2,277,05h40m44s,-02d26m50s,120,3
SH2,278,05h19m48s,-05d39m49s,50,2
SH2,279,05h35m20s,-04d48m03s,20,3
SH2,280,06h34m19s,+02d32m24s,40,2
SH2,281,05h34m55s,-05d28m00s,60,3
SH2,282,06h37m59s,+01d30m52s,35,2
SH2,283,06h38m39s,+00d42m46s,3,1
SH2,284,06h45m02s,+00d13m51s,80,2
SH2,285,06h55m12s,-00d30m36s,1,3
SH2,286,06h54m33s,-04d30m32s,6,1
SH2,287,06h59m33s,-04d48m14s,12,2
SH2,288,07h08m34s,-04d18m30s,1,3
SH2,289,06h45m57s,-07d20m18s,11,1
SH2,290,08h54m11s,+08d55m16s,17,2
SH2,291,06h55m25s,-08d01m40s,8,2
SH2,292,07h04m26s,-10d26m56s,21,3
SH2,293,07h01m48s,-11d18m34s,11,2
SH2,294,07h16m34s,-09d26m38s,7,3
SH2,295,07h02m41s,-11d27m42s,8,1
SH2,296,07h05m48s,-11d13m08s,200,3
SH2,297,07h05m15s,-12d20m04s,7,3
SH2,298,07h18m38s,-13d11m55s,22,3
SH2,299,07h30m40s,-15d17m34s,1,1
SH2,300,07h31m04s,-15d24m37s,3,1
SH2,301,07h09m49s,-18d28m43s,9,3
SH2,302,07h31m42s,-16d58m43s,21,2
SH2,303,06h54m02s,-22d25m30s,90,2
SH2,304,06h43m27s,-24d08m00s,200,2
SH2,305,07h30m08s,-18d31m30s,4,3
SH2,306,07h30m37s,-19d06m34s,30,1
SH2,307,07h35m32s,-18d45m14s,6,3
SH2,308,06h54m10s,-23d56m32s,35,2
SH2,309,07h32m06s,-19d25m46s,12,2
SH2,310,07h13m03s,-24d35m11s,480,2
SH2,311,07h52m21s,-26d26m28s,45,3
SH2,312,08h59m10s,-25d41m19s,720,2
SH2,313,12h53m32s,-22d51m36s,12,2
