cat,name,ra,dec,size,bri
IC,2153,06h00m06s,-33d55m00s,2.5,2
IC,2154,06h01m06s,-23d40m00s,3.3,2
IC,2157,06h05m00s,+24d00m00s,7.0,3
IC,2158,06h05m18s,-27d51m00s,1.6,2
IC,2160,05h55m30s,-76d55m00s,1.9,2
IC,2162,06h12m54s,+17d59m00s,15.0,2
IC,2164,06h06m54s,-75d22m00s,1.3,2
IC,2165,06h21m42s,-12d59m00s,0.1,1
IC,2166,06h27m00s,+59d05m00s,2.9,1
IC,2169,06h31m12s,+09d54m00s,25.0,2
IC,2171,06h44m24s,-17d56m00s,1.8,2
IC,2174,07h09m06s,+75d21m00s,1.2,2
IC,2176,07h07m30s,+32d28m00s,0.4,1
IC,2177,07h05m06s,-10d42m00s,120.0,2
IC,2179,07h15m30s,+64d56m00s,1.0,1
IC,2180,07h11m18s,+26d23m00s,1.2,1
IC,2181,07h13m12s,+19d00m00s,1.0,1
IC,2184,07h29m24s,+72d08m00s,1.3,2
IC,2185,07h23m12s,+32d30m00s,0.5,1
IC,2191,07h30m18s,+24d18m00s,0.7,1
IC,2194,07h33m42s,+31d19m00s,1.0,1
IC,2196,07h34m06s,+31d24m00s,1.5,1
IC,2197,07h34m18s,+31d24m00s,0.5,1
IC,2200,07h28m18s,-62d22m00s,1.1,2
IC,2201,07h36m12s,+33d07m00s,1.3,1
IC,2202,07h27m54s,-67d34m00s,2.1,2
IC,2203,07h40m36s,+34d13m00s,1.2,1
IC,2204,07h41m12s,+34d13m00s,1.1,1
IC,2207,07h49m48s,+33d57m00s,2.0,1
IC,2209,07h56m12s,+60d18m00s,1.1,1
IC,2211,07h57m42s,+32d34m00s,0.8,1
IC,2212,07h59m00s,+32d37m00s,0.5,1
IC,2213,07h59m00s,+27d28m00s,0.7,1
IC,2214,07h59m54s,+33d18m00s,0.8,1
IC,2217,08h00m48s,+27d30m00s,0.6,1
IC,2219,08h02m36s,+27d27m00s,1.5,1
IC,2226,08h06m12s,+12d32m00s,1.4,2
IC,2228,08h07m06s,+08d02m00s,0.4,1
IC,2231,08h11m00s,+05d05m00s,2.0,1
IC,2233,08h14m00s,+45d44m00s,4.7,1
IC,2239,08h14m06s,+23d52m00s,1.0,1
IC,2248,08h16m06s,+23d08m00s,0.4,1
IC,2256,08h16m48s,+24d11m00s,0.6,1
IC,2267,08h18m00s,+24d44m00s,2.3,1
IC,2288,08h19m18s,+23d46m00s,0.3,1
IC,2293,08h19m36s,+21d23m00s,0.8,1
IC,2308,08h20m54s,+19d21m00s,0.3,1
IC,2311,08h18m48s,-25d22m00s,2.2,2
IC,2327,08h21m24s,+03d10m00s,1.5,1
IC,2329,08h22m24s,+19d24m00s,2.2,1
IC,2338,08h23m36s,+21d20m00s,0.6,2
IC,2339,08h23m36s,+21d20m00s,1.2,2
IC,2340,08h23m36s,+18d44m00s,0.8,1
IC,2341,08h23m42s,+21d26m00s,1.6,2
IC,2348,08h24m24s,+20d32m00s,0.6,1
IC,2351,08h24m36s,+18d36m00s,1.1,1
IC,2359,08h25m18s,+20d20m00s,1.1,1
IC,2361,08h25m42s,+27d53m00s,1.7,1
IC,2366,08h26m18s,+27d50m00s,1.4,1
IC,2367,08h24m12s,-18d46m00s,2.3,2
IC,2373,08h26m54s,+20d22m00s,1.4,1
IC,2378,08h28m30s,+30d26m00s,0.9,2
IC,2380,08h28m36s,+30d25m00s,0.4,1
IC,2382,08h28m42s,+22d04m00s,0.4,1
IC,2384,08h34m30s,+32d26m00s,0.4,1
IC,2385,08h35m06s,+37d17m00s,0.6,1
IC,2387,08h38m36s,+30d47m00s,1.2,1
IC,2389,08h48m00s,+73d32m00s,1.7,1
IC,2391,08h40m12s,-53d04m00s,50.0,3
IC,2393,08h46m48s,+28d11m00s,1.4,1
IC,2394,08h47m06s,+28d16m00s,1.7,1
IC,2395,08h41m06s,-48d12m00s,8.0,3
IC,2400,08h48m00s,+38d06m00s,0.6,1
IC,2401,08h48m06s,+37d45m00s,1.3,1
IC,2402,08h48m06s,+31d49m00s,0.4,1
IC,2405,08h48m42s,+37d14m00s,0.4,1
IC,2421,08h54m24s,+32d41m00s,2.6,2
IC,2422,08h54m24s,+20d14m00s,0.4,1
IC,2423,08h54m48s,+20d14m00s,1.1,1
IC,2426,08h58m30s,+02d54m00s,0.3,1
IC,2428,09h03m12s,+30d35m00s,1.9,1
IC,2429,09h03m48s,+29d18m00s,0.4,1
IC,2430,09h04m30s,+27d57m00s,1.1,1
IC,2431,09h04m30s,+14d36m00s,0.6,1
IC,2433,09h05m30s,+22d37m00s,0.8,1
IC,2434,09h07m12s,+37d12m00s,1.9,1
IC,2435,09h06m48s,+26d16m00s,1.0,1
IC,2437,09h05m30s,-19d12m00s,2.4,2
IC,2443,09h11m30s,+28d49m00s,0.6,1
IC,2444,09h12m48s,+30d14m00s,0.9,1
IC,2445,09h13m12s,+31d48m00s,1.0,1
IC,2446,09h13m30s,+28d58m00s,1.7,1
IC,2448,09h07m06s,-69d57m00s,0.1,2
IC,2454,09h16m00s,+17d49m00s,1.2,1
IC,2457,09h17m06s,+20d05m00s,1.2,1
IC,2458,09h21m36s,+64d14m00s,0.4,1
IC,2461,09h19m54s,+37d10m00s,2.7,1
IC,2464,09h23m24s,+22d35m00s,0.6,1
IC,2469,09h23m00s,-32d27m00s,5.1,2
IC,2471,09h25m12s,-06d50m00s,0.7,1
IC,2473,09h27m24s,+30d26m00s,1.6,1
IC,2475,09h27m54s,+29d48m00s,0.5,2
IC,2476,09h27m54s,+29d59m00s,1.7,2
IC,2478,09h27m54s,+30d01m00s,0.1,2
IC,2479,09h28m06s,+30d00m00s,0.3,2
IC,2480,09h28m12s,+29d43m00s,0.2,2
IC,2481,09h27m24s,+03d56m00s,0.9,1
IC,2482,09h27m00s,-12d06m00s,2.0,1
IC,2486,09h30m18s,+26d39m00s,1.1,1
IC,2487,09h30m12s,+20d06m00s,2.0,2
IC,2488,09h27m36s,-56d59m00s,15.0,3
IC,2490,09h33m06s,+29d55m00s,0.3,2
IC,2491,09h35m12s,+34d44m00s,1.1,1
IC,2493,09h36m18s,+37d23m00s,0.5,1
IC,2495,09h38m12s,+28d03m00s,0.7,1
IC,2501,09h38m48s,-60d05m00s,0.4,2
IC,2507,09h44m36s,-31d47m00s,1.7,2
IC,2510,09h47m42s,-32d50m00s,1.5,2
IC,2511,09h49m24s,-32d51m00s,3.1,2
IC,2512,09h49m24s,-32d51m00s,3.1,2
IC,2513,09h50m00s,-32d53m00s,3.0,2
IC,2514,09h50m00s,-32d53m00s,3.0,2
IC,2515,09h54m36s,+37d24m00s,1.1,1
IC,2520,09h56m24s,+27d14m00s,0.7,1
IC,2521,09h57m18s,+34d01m00s,0.5,1
IC,2522,09h55m12s,-33d08m00s,2.8,1
IC,2523,09h55m12s,-33d13m00s,1.6,2
IC,2524,09h57m30s,+33d37m00s,0.7,1
IC,2526,09h57m06s,-32d15m00s,1.9,2
IC,2528,09h59m06s,-27d08m00s,2.0,2
IC,2529,09h59m30s,-22d50m00s,2.3,2
IC,2531,09h59m54s,-29d37m00s,6.3,2
IC,2532,10h00m06s,-34d14m00s,1.8,2
IC,2533,10h00m30s,-31d15m00s,1.7,2
IC,2534,10h01m30s,-34d07m00s,2.8,2
IC,2535,10h04m30s,+38d03m00s,0.7,1
IC,2536,10h03m30s,-33d57m00s,1.9,2
IC,2537,10h03m54s,-27d34m00s,2.7,1
IC,2538,10h03m54s,-34d48m00s,1.6,2
IC,2539,10h04m18s,-31d22m00s,1.7,2
IC,2540,10h06m54s,+31d28m00s,0.8,1
IC,2541,10h05m48s,-17d27m00s,1.2,1
IC,2548,10h07m54s,-35d14m00s,2.4,2
IC,2550,10h10m24s,+27d57m00s,1.1,1
IC,2551,10h10m42s,+24d25m00s,1.3,1
